_id,ordem,recurso_codigo,recurso_nome,centro_trabalho,produto_sku,produto_nome,data,ano_mes,turno,inicio,fim,tempo_planejado_min,tempo_parado_min,tempo_operando_min,paradas[0].motivo,paradas[1].motivo,paradas[2].motivo,paradas[3].motivo,paradas[0].duracao_min,paradas[1].duracao_min,paradas[2].duracao_min,paradas[3].duracao_min,tempo_ciclo_ideal_seg,pecas_total,pecas_boas,pecas_refugo
6a1340eecac062957a9df903,OP-00002,TOR-01,Torno CNC 01,Usinagem,BMB-200,Bomba Centrífuga 2cv,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,2025-01-01T14:30:00.000Z,450,156,294,Manutenção corretiva (quebra),Falta de material,Ajuste de processo,Falta de operador,97,28,14,17,110,156,153,3
6a1340eecac062957a9df904,OP-00002,TOR-01,Torno CNC 01,Usinagem,BMB-200,Bomba Centrífuga 2cv,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,2025-01-01T23:30:00.000Z,450,28,422,Pequenas paradas,Falta de operador,,,10,18,,,110,205,201,4
6a1340eecac062957a9df905,OP-00003,TOR-02,Torno CNC 02,Usinagem,BMB-300,Bomba Submersa 3cv,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,2025-01-01T14:30:00.000Z,450,49,401,Falta de material,Pequenas paradas,,,15,34,,,130,171,168,3
6a1340eecac062957a9df906,OP-00003,TOR-02,Torno CNC 02,Usinagem,BMB-300,Bomba Submersa 3cv,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,2025-01-01T23:30:00.000Z,450,47,403,Falta de material,Falta de operador,,,27,20,,,130,174,171,3
6a1340eecac062957a9df907,OP-00006,INJ-01,Injetora 01,Injeção,VLV-100,"Válvula Gaveta 1""",2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,2025-01-01T14:30:00.000Z,450,15,435,Falta de material,Falta de operador,Pequenas paradas,,7,2,6,,45,574,565,9
6a1340eecac062957a9df908,OP-00004,INJ-01,Injetora 01,Injeção,VLV-050,"Válvula Esfera 1/2""",2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,2025-01-01T23:30:00.000Z,450,34,416,Ajuste de processo,Falta de operador,,,12,22,,,30,764,761,3
6a1340eecac062957a9df909,OP-00007,MON-01,Linha de Montagem 01,Montagem,CJM-500,Conjunto Pressurizador,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,2025-01-01T14:30:00.000Z,450,62,388,Ajuste de processo,,,,62,,,,300,65,64,1
6a1340eecac062957a9df90a,OP-00008,MON-01,Linha de Montagem 01,Montagem,CJM-700,Conjunto Booster Duplo,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,2025-01-01T23:30:00.000Z,450,71,379,Pequenas paradas,,,,71,,,,420,47,46,1
6a1340eecac062957a9df90b,OP-00002,TOR-01,Torno CNC 01,Usinagem,BMB-200,Bomba Centrífuga 2cv,2025-01-02T00:00:00.000Z,2025-01,1,2025-01-02T06:00:00.000Z,2025-01-02T14:30:00.000Z,450,36,414,Setup/Troca de ferramenta,Falta de material,Ajuste de processo,,20,4,12,,110,217,215,2
6a1340eecac062957a9df90c,OP-00002,TOR-01,Torno CNC 01,Usinagem,BMB-200,Bomba Centrífuga 2cv,2025-01-02T00:00:00.000Z,2025-01,2,2025-01-02T15:00:00.000Z,2025-01-02T23:30:00.000Z,450,25,425,Falta de operador,Pequenas paradas,,,7,18,,,110,209,206,3
