_id,maquina_codigo,ordem,produto_sku,data,ano_mes,turno,inicio,estado,motivo,duracao_min
6a1340efcac062957a9e01ef,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,RUNNING,,294
6a1340efcac062957a9e01f0,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T10:54:00.000Z,MANUTENCAO,Manutenção corretiva (quebra),97
6a1340efcac062957a9e01f1,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T12:31:00.000Z,PARADA,Falta de material,28
6a1340efcac062957a9e01f2,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T12:59:00.000Z,PARADA,Ajuste de processo,14
6a1340efcac062957a9e01f3,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T13:13:00.000Z,PARADA,Falta de operador,17
6a1340efcac062957a9e01f4,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,RUNNING,,422
6a1340efcac062957a9e01f5,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T22:02:00.000Z,PARADA,Pequenas paradas,10
6a1340efcac062957a9e01f6,TOR-01,OP-00002,BMB-200,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T22:12:00.000Z,PARADA,Falta de operador,18
6a1340efcac062957a9e01f7,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,RUNNING,,401
6a1340efcac062957a9e01f8,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T12:41:00.000Z,PARADA,Falta de material,15
6a1340efcac062957a9e01f9,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T12:56:00.000Z,PARADA,Pequenas paradas,34
6a1340efcac062957a9e01fa,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,RUNNING,,403
6a1340efcac062957a9e01fb,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T21:43:00.000Z,PARADA,Falta de material,27
6a1340efcac062957a9e01fc,TOR-02,OP-00003,BMB-300,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T22:10:00.000Z,PARADA,Falta de operador,20
6a1340efcac062957a9e01fd,INJ-01,OP-00006,VLV-100,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,RUNNING,,435
6a1340efcac062957a9e01fe,INJ-01,OP-00006,VLV-100,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T13:15:00.000Z,PARADA,Falta de material,7
6a1340efcac062957a9e01ff,INJ-01,OP-00006,VLV-100,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T13:22:00.000Z,PARADA,Falta de operador,2
6a1340efcac062957a9e0200,INJ-01,OP-00006,VLV-100,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T13:24:00.000Z,PARADA,Pequenas paradas,6
6a1340efcac062957a9e0201,INJ-01,OP-00004,VLV-050,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,RUNNING,,416
6a1340efcac062957a9e0202,INJ-01,OP-00004,VLV-050,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T21:56:00.000Z,PARADA,Ajuste de processo,12
6a1340efcac062957a9e0203,INJ-01,OP-00004,VLV-050,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T22:08:00.000Z,PARADA,Falta de operador,22
6a1340efcac062957a9e0204,MON-01,OP-00007,CJM-500,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T06:00:00.000Z,RUNNING,,388
6a1340efcac062957a9e0205,MON-01,OP-00007,CJM-500,2025-01-01T00:00:00.000Z,2025-01,1,2025-01-01T12:28:00.000Z,PARADA,Ajuste de processo,62
6a1340efcac062957a9e0206,MON-01,OP-00008,CJM-700,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T15:00:00.000Z,RUNNING,,379
6a1340efcac062957a9e0207,MON-01,OP-00008,CJM-700,2025-01-01T00:00:00.000Z,2025-01,2,2025-01-01T21:19:00.000Z,PARADA,Pequenas paradas,71
6a1340efcac062957a9e0208,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,1,2025-01-02T06:00:00.000Z,RUNNING,,414
6a1340efcac062957a9e0209,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,1,2025-01-02T12:54:00.000Z,SETUP,Setup/Troca de ferramenta,20
6a1340efcac062957a9e020a,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,1,2025-01-02T13:14:00.000Z,PARADA,Falta de material,4
6a1340efcac062957a9e020b,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,1,2025-01-02T13:18:00.000Z,PARADA,Ajuste de processo,12
6a1340efcac062957a9e020c,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,2,2025-01-02T15:00:00.000Z,RUNNING,,425
6a1340efcac062957a9e020d,TOR-01,OP-00002,BMB-200,2025-01-02T00:00:00.000Z,2025-01,2,2025-01-02T22:05:00.000Z,PARADA,Falta de operador,7
